ds,cutoff,y,RWD,AutoARIMA,AutoETS,Naive
2017-11-10,2017-11-09,69.31,67.48869,67.50267,67.47006,67.47
2017-11-13,2017-11-09,67.13,67.50738,67.50267,67.47006,67.47
2017-11-14,2017-11-09,67.46,67.52607,67.50267,67.47006,67.47
2017-11-15,2017-11-09,67.31,67.54476,67.50267,67.47006,67.47
2017-11-16,2017-11-09,68.74,67.563446,67.50267,67.47006,67.47
2017-11-17,2017-11-09,68.79,67.58214,67.50267,67.47006,67.47
2017-11-20,2017-11-09,69.96,67.60083,67.50267,67.47006,67.47
2017-11-21,2017-11-09,69.91,67.619514,67.50267,67.47006,67.47
2017-11-22,2017-11-09,68.69,67.63821,67.50267,67.47006,67.47
2017-11-24,2017-11-09,69.36,67.6569,67.50267,67.47006,67.47
2017-11-27,2017-11-09,69.31,67.67558,67.50267,67.47006,67.47
2017-11-28,2017-11-09,70.59,67.694275,67.50267,67.47006,67.47
2017-11-29,2017-11-09,68.69,67.71297,67.50267,67.47006,67.47
2017-11-30,2017-11-09,69.24,67.73165,67.50267,67.47006,67.47
2017-12-01,2017-11-09,68.69,67.75034,67.50267,67.47006,67.47
2017-12-04,2017-11-09,66.24,67.769035,67.50267,67.47006,67.47
2017-12-05,2017-11-09,65.83,67.78772,67.50267,67.47006,67.47
2017-12-06,2017-11-09,65.89,67.80641,67.50267,67.47006,67.47
2017-12-07,2017-11-09,66.71,67.8251,67.50267,67.47006,67.47
2017-12-08,2017-11-09,67.38,67.84379,67.50267,67.47006,67.47
2017-12-11,2017-12-08,67.0,67.39831,67.337494,67.37994,67.38
2017-12-12,2017-12-08,67.06,67.41662,67.337494,67.37994,67.38
2017-12-13,2017-12-08,66.68,67.43492,67.337494,67.37994,67.38
2017-12-14,2017-12-08,66.51,67.45323,67.337494,67.37994,67.38
2017-12-15,2017-12-08,67.61,67.47154,67.337494,67.37994,67.38
2017-12-18,2017-12-08,67.66,67.48985,67.337494,67.37994,67.38
2017-12-19,2017-12-08,67.75,67.508156,67.337494,67.37994,67.38
2017-12-20,2017-12-08,67.4,67.52647,67.337494,67.37994,67.38
2017-12-21,2017-12-08,67.52,67.54478,67.337494,67.37994,67.38
2017-12-22,2017-12-08,67.35,67.56309,67.337494,67.37994,67.38
2017-12-26,2017-12-08,67.25,67.58139,67.337494,67.37994,67.38
2017-12-27,2017-12-08,67.3,67.5997,67.337494,67.37994,67.38
2017-12-28,2017-12-08,67.45,67.61801,67.337494,67.37994,67.38
2017-12-29,2017-12-08,66.97,67.63632,67.337494,67.37994,67.38
2018-01-02,2017-12-08,67.6,67.654625,67.337494,67.37994,67.38
2018-01-03,2017-12-08,69.32,67.672935,67.337494,67.37994,67.38
2018-01-04,2017-12-08,68.8,67.691246,67.337494,67.37994,67.38
2018-01-05,2017-12-08,69.9,67.70956,67.337494,67.37994,67.38
2018-01-08,2017-12-08,70.05,67.72786,67.337494,67.37994,67.38
2018-01-09,2017-12-08,71.77,67.74617,67.337494,67.37994,67.38
2018-01-10,2018-01-09,70.79,71.79156,71.66731,71.76983,71.77
2018-01-11,2018-01-09,70.8,71.81312,71.66731,71.76983,71.77
2018-01-12,2018-01-09,71.73,71.83467,71.66731,71.76983,71.77
2018-01-16,2018-01-09,71.23,71.85623,71.66731,71.76983,71.77
2018-01-17,2018-01-09,72.06,71.87779,71.66731,71.76983,71.77
2018-01-18,2018-01-09,72.19,71.89935,71.66731,71.76983,71.77
2018-01-19,2018-01-09,73.07,71.920906,71.66731,71.76983,71.77
2018-01-22,2018-01-09,73.48,71.94247,71.66731,71.76983,71.77
2018-01-23,2018-01-09,73.44,71.96403,71.66731,71.76983,71.77
2018-01-24,2018-01-09,73.58,71.98559,71.66731,71.76983,71.77
2018-01-25,2018-01-09,73.86,72.00715,71.66731,71.76983,71.77
2018-01-26,2018-01-09,74.82,72.0287,71.66731,71.76983,71.77
2018-01-29,2018-01-09,74.53,72.05026,71.66731,71.76983,71.77
2018-01-30,2018-01-09,72.99,72.07182,71.66731,71.76983,71.77
2018-01-31,2018-01-09,73.43,72.09338,71.66731,71.76983,71.77
2018-02-01,2018-01-09,72.83,72.11494,71.66731,71.76983,71.77
2018-02-02,2018-01-09,71.25,72.1365,71.66731,71.76983,71.77
2018-02-05,2018-01-09,68.22,72.15806,71.66731,71.76983,71.77
2018-02-06,2018-01-09,68.45,72.17962,71.66731,71.76983,71.77
2018-02-07,2018-01-09,68.06,72.20118,71.66731,71.76983,71.77
2017-11-10,2017-11-09,45.82,45.795895,45.684887,45.81849,45.77
2017-11-13,2017-11-09,45.74,45.821785,45.705593,45.866913,45.77
2017-11-14,2017-11-09,45.81,45.84768,45.703392,45.915337,45.77
2017-11-15,2017-11-09,47.19,45.873573,45.706932,45.963764,45.77
2017-11-16,2017-11-09,47.68,45.899467,45.76512,46.012188,45.77
2017-11-17,2017-11-09,47.39,45.925358,45.770775,46.06061,45.77
2017-11-20,2017-11-09,47.69,45.951252,45.80349,46.109035,45.77
2017-11-21,2017-11-09,48.65,45.977146,45.805283,46.15746,45.77
2017-11-22,2017-11-09,48.66,46.00304,45.80538,46.205883,45.77
2017-11-24,2017-11-09,48.56,46.02893,45.805386,46.25431,45.77
2017-11-27,2017-11-09,48.42,46.054825,45.80539,46.302734,45.77
2017-11-28,2017-11-09,49.22,46.08072,45.80539,46.35116,45.77
2017-11-29,2017-11-09,49.25,46.106613,45.80539,46.399582,45.77
2017-11-30,2017-11-09,50.49,46.132504,45.80539,46.448006,45.77
2017-12-01,2017-11-09,49.0,46.158398,45.80539,46.496433,45.77
2017-12-04,2017-11-09,49.93,46.18429,45.80539,46.544857,45.77
2017-12-05,2017-11-09,49.47,46.210182,45.80539,46.59328,45.77
2017-12-06,2017-11-09,49.61,46.236076,45.80539,46.641705,45.77
2017-12-07,2017-11-09,50.88,46.26197,45.80539,46.69013,45.77
2017-12-08,2017-11-09,51.02,46.287865,45.80539,46.738552,45.77
2017-12-11,2017-12-08,51.3,51.049778,50.96045,51.07039,51.02
2017-12-12,2017-12-08,50.47,51.079556,51.037388,51.120785,51.02
2017-12-13,2017-12-08,50.09,51.109337,50.987896,51.17118,51.02
2017-12-14,2017-12-08,50.21,51.139114,51.012653,51.22158,51.02
2017-12-15,2017-12-08,51.06,51.16889,51.00539,51.271976,51.02
2017-12-18,2017-12-08,51.49,51.19867,50.93546,51.322376,51.02
2017-12-19,2017-12-08,51.44,51.228447,50.927967,51.372772,51.02
2017-12-20,2017-12-08,51.92,51.25823,50.927586,51.42317,51.02
2017-12-21,2017-12-08,52.79,51.288006,50.927567,51.473568,51.02
2017-12-22,2017-12-08,52.59,51.317783,50.927563,51.523964,51.02
2017-12-26,2017-12-08,52.85,51.34756,50.927563,51.57436,51.02
2017-12-27,2017-12-08,52.4,51.377342,50.927563,51.62476,51.02
2017-12-28,2017-12-08,52.46,51.40712,50.927563,51.675156,51.02
2017-12-29,2017-12-08,52.03,51.436897,50.927563,51.72555,51.02
