Model,MAE,MSE,MAPE,Iteration
NHITS,2.5353437902386986,14.807457693503101,0.032602931343188035,1
NLinear,2.7123780100786927,18.172177877359008,0.034399140358355146,1
TiDE,3.7462395743800303,29.93772121232665,0.04743511878907327,1
NHITS,2.5270995425234215,14.710882724644058,0.03258192828209127,2
NLinear,2.6530481076477224,16.88274464127521,0.03375931150725355,2
TiDE,3.1200028378417524,22.13794231871443,0.03962109784775736,2
NHITS,2.531136376062604,14.754431798153938,0.032645095378085194,3
NLinear,2.6178659640576547,16.24988322517369,0.03337569016423809,3
TiDE,2.847093016212942,18.764690809895285,0.03629961229632248,3
NHITS,2.5371278367540224,14.828553633918025,0.032721427891435784,4
NLinear,2.596477233869653,15.893104430118496,0.033147969774172996,4
TiDE,2.7301740726853834,17.266743461577015,0.03492857468161542,4
NHITS,2.5436714424603317,14.900760520893217,0.03279271040833907,5
NLinear,2.5816138457743456,15.666288267383731,0.03298891140654971,5
TiDE,2.6752806249345555,16.573408962980267,0.03430267707420856,5
NHITS,2.5514606033966385,14.982837278812653,0.03288941653865877,6
NLinear,2.5739864471268112,15.525532748892942,0.03291891825720857,6
TiDE,2.6444604007701638,16.189807625533003,0.0339431492522575,6
NHITS,2.5623611277216294,15.09005577600648,0.03301807493854186,7
NLinear,2.5723208120719563,15.532658789695013,0.032896307783195425,7
TiDE,2.6420323357255837,16.175291829413354,0.03390479284592469,7
NHITS,2.5759063240420255,15.235149983488734,0.033177885880748374,8
NLinear,2.5694942170007606,15.475302748767401,0.03286987364079012,8
TiDE,2.618095031329514,15.889224839629076,0.033619368863868085,8
NHITS,2.5852497627835143,15.33948920572376,0.033282033966236094,9
NLinear,2.566901511519634,15.443728754567019,0.03283918829008426,9
TiDE,2.605992760606784,15.75730507870205,0.033453606679575476,9
NHITS,2.596593273847763,15.486861642698445,0.033413661277906535,10
NLinear,2.5641991579041243,15.410911869606052,0.03280992166259684,10
TiDE,2.5944183426119536,15.612175508683931,0.03331035508580998,10
