unique_id,ds,cutoff,FEDformer,Autoformer,PatchTST,Informer,VanillaTransformer,y
A,2017-11-10,2017-11-09,,68.02655,67.463,67.39032,67.5052,69.31
A,2017-11-13,2017-11-09,,68.115746,67.49592,67.39319,67.48108,67.13
A,2017-11-14,2017-11-09,,67.89145,67.46816,67.40396,67.467514,67.46
A,2017-11-15,2017-11-09,,67.80713,67.48674,67.439804,67.48675,67.31
A,2017-11-16,2017-11-09,,67.57715,67.500824,67.41683,67.5128,68.74
A,2017-11-17,2017-11-09,,67.30249,67.53861,67.409035,67.52809,68.79
A,2017-11-20,2017-11-09,,67.08594,67.50059,67.44642,67.52945,69.96
A,2017-11-21,2017-11-09,,66.82085,67.437294,67.45691,67.529015,69.91
A,2017-11-22,2017-11-09,,66.716644,67.53011,67.507,67.53654,68.69
A,2017-11-24,2017-11-09,,66.8052,67.56822,67.511505,67.550674,69.36
A,2017-11-27,2017-11-09,,66.80698,67.51346,67.41916,67.56655,69.31
A,2017-11-28,2017-11-09,,66.89429,67.52846,67.45627,67.578354,70.59
A,2017-11-29,2017-11-09,,66.98572,67.50149,67.53178,67.582306,68.69
A,2017-11-30,2017-11-09,,66.954185,67.525345,67.53636,67.584,69.24
A,2017-12-01,2017-11-09,,66.875534,67.54577,67.4508,67.59207,68.69
A,2017-12-04,2017-11-09,,66.78193,67.564186,67.56722,67.60722,66.24
A,2017-12-05,2017-11-09,,66.540855,67.517876,67.579155,67.62522,65.83
A,2017-12-06,2017-11-09,,66.328186,67.52354,67.5781,67.641884,65.89
A,2017-12-07,2017-11-09,,66.23863,67.550026,67.589355,67.64869,66.71
A,2017-12-08,2017-11-09,,66.62318,67.54311,67.59349,67.65338,67.38
A,2017-12-11,2017-12-08,,68.37936,67.3257,67.6607,67.481636,67.0
A,2017-12-12,2017-12-08,,68.47709,67.44257,67.60715,67.61096,67.06
A,2017-12-13,2017-12-08,,68.06074,67.49318,67.76995,67.67796,66.68
A,2017-12-14,2017-12-08,,68.264915,67.51596,67.77745,67.72483,66.51
A,2017-12-15,2017-12-08,,68.140236,67.53037,67.72174,67.75973,67.61
A,2017-12-18,2017-12-08,,68.35224,67.59049,67.80124,67.787964,67.66
A,2017-12-19,2017-12-08,,68.04268,67.62724,67.78985,67.812775,67.75
A,2017-12-20,2017-12-08,,67.975006,67.69171,67.796326,67.84059,67.4
A,2017-12-21,2017-12-08,,68.06855,67.607765,67.86499,67.88097,67.52
A,2017-12-22,2017-12-08,,68.07835,67.57739,67.88324,67.93631,67.35
A,2017-12-26,2017-12-08,,68.18663,67.63931,68.093506,67.996475,67.25
A,2017-12-27,2017-12-08,,68.05889,67.64158,68.07062,68.043594,67.3
A,2017-12-28,2017-12-08,,68.14606,67.62363,68.27215,68.062454,67.45
A,2017-12-29,2017-12-08,,67.94134,67.57146,68.23299,68.0566,66.97
A,2018-01-02,2017-12-08,,67.56994,67.68748,68.14096,68.053345,67.6
A,2018-01-03,2017-12-08,,67.15091,67.583824,68.295265,68.082726,69.32
A,2018-01-04,2017-12-08,,66.82243,67.690384,68.306854,68.15458,68.8
A,2018-01-05,2017-12-08,,66.84078,67.63869,68.31173,68.25133,69.9
A,2018-01-08,2017-12-08,,66.79279,67.763916,68.38008,68.33613,70.05
A,2018-01-09,2017-12-08,,67.302826,67.57766,68.35031,68.62084,71.77
A,2018-01-10,2018-01-09,,72.16837,71.78088,71.63668,71.229774,70.79
A,2018-01-11,2018-01-09,,70.22988,71.78971,71.53517,71.5071,70.8
A,2018-01-12,2018-01-09,,70.29771,71.760925,71.52037,71.57925,71.73
A,2018-01-16,2018-01-09,,70.71407,71.8332,71.600494,71.627365,71.23
A,2018-01-17,2018-01-09,,70.6551,71.8042,71.80959,71.65079,72.06
A,2018-01-18,2018-01-09,,70.79638,71.838394,71.74991,71.67485,72.19
A,2018-01-19,2018-01-09,,70.99774,71.72653,72.06252,71.711044,73.07
A,2018-01-22,2018-01-09,,71.17622,71.79407,72.184395,71.754974,73.48
A,2018-01-23,2018-01-09,,71.1956,71.773384,71.633026,71.79485,73.44
A,2018-01-24,2018-01-09,,71.20158,71.83461,72.354416,71.82762,73.58
A,2018-01-25,2018-01-09,,70.92923,71.83891,71.917725,71.86424,73.86
A,2018-01-26,2018-01-09,,70.862625,71.80597,71.96225,71.90627,74.82
A,2018-01-29,2018-01-09,,70.46039,71.771935,71.92161,71.93765,74.53
A,2018-01-30,2018-01-09,,70.33416,71.81415,72.12234,71.94934,72.99
A,2018-01-31,2018-01-09,,70.07879,71.915054,72.08294,71.95033,73.43
A,2018-02-01,2018-01-09,,70.0214,71.85842,71.97116,71.95897,72.83
A,2018-02-02,2018-01-09,,69.79949,71.823166,72.22105,71.99108,71.25
A,2018-02-05,2018-01-09,,69.67049,71.90889,72.1626,72.04405,68.22
A,2018-02-06,2018-01-09,,69.43023,71.8963,71.99111,72.08652,68.45
A,2018-02-07,2018-01-09,,69.65178,71.85285,72.361855,72.0591,68.06
AAL,2017-11-10,2017-11-09,,45.94564,45.981018,45.645428,45.668655,45.82
AAL,2017-11-13,2017-11-09,,46.98646,45.925762,45.921623,45.704098,45.74
AAL,2017-11-14,2017-11-09,,47.28229,46.233994,45.822243,45.73859,45.81
AAL,2017-11-15,2017-11-09,,47.584682,45.959404,45.949444,45.788845,47.19
AAL,2017-11-16,2017-11-09,,47.339367,46.120052,46.11771,45.8463,47.68
AAL,2017-11-17,2017-11-09,,47.263027,45.99497,45.937946,45.901306,47.39
AAL,2017-11-20,2017-11-09,,46.804745,46.271053,46.01827,45.945107,47.69
AAL,2017-11-21,2017-11-09,,46.73517,46.47539,46.09847,45.983784,48.65
AAL,2017-11-22,2017-11-09,,46.375553,46.361763,46.059536,46.04271,48.66
AAL,2017-11-24,2017-11-09,,45.81548,46.50877,45.908646,46.12954,48.56
AAL,2017-11-27,2017-11-09,,45.639183,46.59645,46.709126,46.222946,48.42
AAL,2017-11-28,2017-11-09,,45.3366,46.800106,46.570374,46.297104,49.22
AAL,2017-11-29,2017-11-09,,45.239563,46.954388,46.62333,46.337524,49.25
AAL,2017-11-30,2017-11-09,,44.787746,47.110096,46.766724,46.351765,50.49
AAL,2017-12-01,2017-11-09,,44.890877,46.743298,46.813065,46.37815,49.0
AAL,2017-12-04,2017-11-09,,44.49324,46.959705,46.737034,46.448376,49.93
AAL,2017-12-05,2017-11-09,,44.20426,47.241318,46.80788,46.552963,49.47
AAL,2017-12-06,2017-11-09,,43.495266,47.4238,47.726494,46.6494,49.61
AAL,2017-12-07,2017-11-09,,43.659607,47.28601,46.828587,46.695744,50.88
AAL,2017-12-08,2017-11-09,,43.504906,47.5572,47.40228,46.84798,51.02
AAL,2017-12-11,2017-12-08,,52.3165,50.99724,50.99297,51.46226,51.3
AAL,2017-12-12,2017-12-08,,51.904087,51.085735,50.98597,51.377045,50.47
AAL,2017-12-13,2017-12-08,,51.70778,51.01079,51.042416,51.38925,50.09
AAL,2017-12-14,2017-12-08,,51.795246,51.135307,51.035538,51.41358,50.21
AAL,2017-12-15,2017-12-08,,51.581387,51.164722,51.05142,51.43828,51.06
AAL,2017-12-18,2017-12-08,,51.119644,51.14414,51.13201,51.460064,51.49
AAL,2017-12-19,2017-12-08,,50.782276,51.09812,51.13706,51.480976,51.44
