unique_id,ds,cutoff,FEDformer,Autoformer,PatchTST,iTransformer,Informer,VanillaTransformer,y
10_BEVERAGES,2017-06-29,2017-06-28,,6.9003043,6.8667903,6.8141365,6.8849945,6.8472347,6.511745329644728
10_BEVERAGES,2017-06-30,2017-06-28,,6.9710565,6.955188,6.8070946,6.9005356,6.9691195,7.175489713624222
10_BEVERAGES,2017-07-01,2017-06-28,,7.2779922,7.3009915,7.305915,7.204868,7.2699986,7.53689712956617
10_BEVERAGES,2017-07-02,2017-06-28,,7.345458,7.2733626,7.2001624,7.122432,7.2926884,7.2682230211595655
10_BEVERAGES,2017-07-03,2017-06-28,,7.0920906,7.0372696,7.0546594,6.9922543,7.0901313,7.234177179749849
10_BEVERAGES,2017-07-04,2017-06-28,,7.0096083,7.0523705,6.9886107,6.979423,6.978693,6.974478911025045
10_BEVERAGES,2017-07-05,2017-06-28,,6.942697,7.027003,6.9465823,6.9792137,6.9221706,7.0707241072602764
10_BEVERAGES,2017-07-06,2017-06-28,,6.8738856,6.951719,6.7988205,6.9790816,6.894614,6.863803391452954
10_BEVERAGES,2017-07-07,2017-06-28,,6.9714394,6.9945197,6.8468432,6.982811,7.0054965,6.946013991099227
10_BEVERAGES,2017-07-08,2017-06-28,,7.349099,7.31879,7.238473,7.175129,7.300516,7.496097345175956
10_BEVERAGES,2017-07-09,2017-06-28,,7.361227,7.2623987,7.1108093,7.1580734,7.315915,7.226209010100671
10_BEVERAGES,2017-07-10,2017-06-28,,7.028763,6.985223,6.8367615,7.056747,7.0707607,7.243512974665481
10_BEVERAGES,2017-07-11,2017-06-28,,6.948911,6.9754605,6.8842716,7.008093,6.9731064,7.074963197966043
10_BEVERAGES,2017-07-12,2017-06-28,,6.964075,6.9170427,6.8346357,7.0100503,6.923285,7.180069874302796
10_BEVERAGES,2017-07-13,2017-06-28,,6.9008155,6.876672,6.7868843,6.949705,6.896163,7.111512116496156
10_BEVERAGES,2017-07-14,2017-06-28,,7.0514426,6.93866,6.8858695,6.9675984,7.013578,7.0130157896396295
10_BEVERAGES,2017-07-15,2017-07-14,,7.262506,7.405939,7.4252415,7.336321,7.3462152,7.310550158534422
10_BEVERAGES,2017-07-16,2017-07-14,,7.223896,7.3019934,7.237255,7.3024826,7.2799125,7.430114138561801
10_BEVERAGES,2017-07-17,2017-07-14,,7.060042,7.110224,7.0677443,6.987867,7.100299,7.1808311990445555
10_BEVERAGES,2017-07-18,2017-07-14,,7.008719,7.020572,6.935609,6.9968824,7.030452,7.102499355774649
10_BEVERAGES,2017-07-19,2017-07-14,,6.9583974,6.9853086,6.8877788,7.0821266,6.9793243,6.86484777797086
