Model,MAE,MSE,MAPE,Iteration
FEDformer,,,0.0,1
Autoformer,3.4676908147782544,27.623101688301276,0.04443075518771139,1
PatchTST,2.559344536556033,15.094575479253372,0.03281020445446218,1
Informer,2.595877097417044,15.276886178871873,0.03344835527567889,1
VanillaTransformer,2.5627746450587128,15.09375543012567,0.033011885555134575,1
FEDformer,,,0.0,2
Autoformer,3.5133817182176674,30.647512566604853,0.044651920090297136,2
PatchTST,2.5565779983223207,15.074497373704377,0.03277376250489895,2
Informer,2.6038592615277882,15.366975635533919,0.03349201001465617,2
VanillaTransformer,2.5511504305537867,14.962566452970762,0.03288269376366144,2
FEDformer,,,0.0,3
Autoformer,3.398232784638707,26.87568219256086,0.04335717912368887,3
PatchTST,2.5544128839925744,15.055017117045095,0.03274918379106045,3
Informer,2.5979337239759914,15.322486014047394,0.03346905233958608,3
VanillaTransformer,2.5551672113994646,15.008027675526245,0.03291439742865474,3
FEDformer,,,0.0,4
Autoformer,3.477660997168995,28.83892792579732,0.0444870365863224,4
PatchTST,2.556485230382901,15.052849369811453,0.03278756255909982,4
Informer,2.593204861742501,15.223596398880046,0.033440375545200074,4
VanillaTransformer,2.5595303199304875,15.044170778232134,0.0329657809863567,4
FEDformer,,,0.0,5
Autoformer,3.470765555606371,28.370892225749852,0.044336875158429156,5
PatchTST,2.5586582522922265,15.07362957975643,0.03281230498875597,5
Informer,2.5933734483306767,15.266664366308948,0.033443311635855545,5
VanillaTransformer,2.562243367115296,15.034193676815402,0.033019467351069316,5
FEDformer,,,0.0,6
Autoformer,3.44407331838981,28.41107606091959,0.044062880953744527,6
PatchTST,2.556329499960358,15.052167034878225,0.032791169953046054,6
Informer,2.593569722989838,15.233953455940323,0.03343785316470501,6
VanillaTransformer,2.56094148464571,15.052859894579957,0.032984316505977704,6
FEDformer,,,0.0,7
Autoformer,3.4599844736487277,28.232666860405853,0.044273057156660515,7
PatchTST,2.5556612273193466,15.042895557589162,0.03277665918366682,7
Informer,2.5961975284721976,15.247866073661516,0.03349477137170219,7
VanillaTransformer,2.566735758283438,15.08402205886954,0.03305020610244712,7
FEDformer,,,0.0,8
Autoformer,3.4927058053665445,28.684217138308686,0.04485143748804506,8
PatchTST,2.558367996307816,15.06531982450128,0.03281157718237656,8
Informer,2.5862103692672127,15.208248827509882,0.0333628337145961,8
VanillaTransformer,2.562842355685434,15.0547751762987,0.03299652125533545,8
FEDformer,,,0.0,9
Autoformer,3.50812783791192,27.98128011008833,0.044865548681169584,9
PatchTST,2.556051200293568,15.042422059641426,0.032778130546191914,9
Informer,2.592527171437679,15.216739791036872,0.03349174037118483,9
VanillaTransformer,2.5628847537526167,15.033641492193677,0.033030320040766566,9
FEDformer,,,0.0,10
Autoformer,3.4335611792040193,26.592607220489572,0.04416037138495762,10
PatchTST,2.5566165146600923,15.061671878679634,0.03278341523949267,10
Informer,2.570857910838597,14.903969639370738,0.033241711923540966,10
VanillaTransformer,2.560576706702648,15.013297507558994,0.03301032720806905,10
