unique_id,ds,cutoff,FEDformer,Autoformer,PatchTST,Informer,VanillaTransformer,y
A,2017-11-10,2017-11-09,,68.2665,67.4677,67.44191,67.51344,69.31
A,2017-11-13,2017-11-09,,68.341995,67.48247,67.42704,67.48263,67.13
A,2017-11-14,2017-11-09,,68.12523,67.483116,67.43173,67.47354,67.46
A,2017-11-15,2017-11-09,,67.96893,67.47865,67.459854,67.491394,67.31
A,2017-11-16,2017-11-09,,67.71425,67.47084,67.44655,67.51265,68.74
A,2017-11-17,2017-11-09,,67.44092,67.51575,67.472244,67.524284,68.79
A,2017-11-20,2017-11-09,,67.27066,67.51347,67.515526,67.52543,69.96
A,2017-11-21,2017-11-09,,67.07983,67.450005,67.48759,67.52675,69.91
A,2017-11-22,2017-11-09,,66.985,67.51181,67.53319,67.535774,68.69
A,2017-11-24,2017-11-09,,66.929596,67.517265,67.54999,67.549934,69.36
A,2017-11-27,2017-11-09,,66.90792,67.49075,67.51598,67.564514,69.31
A,2017-11-28,2017-11-09,,66.929436,67.505844,67.55598,67.57551,70.59
A,2017-11-29,2017-11-09,,66.9686,67.52769,67.57325,67.58035,68.69
A,2017-11-30,2017-11-09,,66.86829,67.55055,67.591934,67.583176,69.24
A,2017-12-01,2017-11-09,,66.76859,67.5516,67.5377,67.590164,68.69
A,2017-12-04,2017-11-09,,66.56145,67.51473,67.61879,67.60144,66.24
A,2017-12-05,2017-11-09,,66.37324,67.5254,67.6316,67.61431,65.83
A,2017-12-06,2017-11-09,,66.153114,67.53582,67.640976,67.62699,65.89
A,2017-12-07,2017-11-09,,66.06861,67.52128,67.63606,67.632996,66.71
A,2017-12-08,2017-11-09,,66.58315,67.55811,67.63982,67.6439,67.38
A,2017-12-11,2017-12-08,,67.90654,67.35628,67.73094,67.50522,67.0
A,2017-12-12,2017-12-08,,68.04259,67.46362,67.604385,67.64291,67.06
A,2017-12-13,2017-12-08,,67.88314,67.50839,67.840965,67.71054,66.68
A,2017-12-14,2017-12-08,,68.044716,67.5006,67.83506,67.757996,66.51
A,2017-12-15,2017-12-08,,68.09832,67.568985,67.79124,67.791885,67.61
A,2017-12-18,2017-12-08,,68.42271,67.58301,67.90459,67.81772,67.66
A,2017-12-19,2017-12-08,,68.2007,67.61885,67.9506,67.84084,67.75
A,2017-12-20,2017-12-08,,68.193436,67.7161,67.9123,67.86717,67.4
A,2017-12-21,2017-12-08,,68.18322,67.66654,67.96882,67.90548,67.52
A,2017-12-22,2017-12-08,,68.10841,67.64111,67.98464,67.95961,67.35
A,2017-12-26,2017-12-08,,68.06343,67.68966,68.13725,68.02002,67.25
A,2017-12-27,2017-12-08,,67.974655,67.660126,68.02069,68.06924,67.3
A,2017-12-28,2017-12-08,,68.035484,67.67098,68.35808,68.09334,67.45
A,2017-12-29,2017-12-08,,67.84061,67.60701,68.38295,68.093666,66.97
A,2018-01-02,2017-12-08,,67.55215,67.68574,68.29274,68.09222,67.6
A,2018-01-03,2017-12-08,,67.24554,67.65704,68.43065,68.116455,69.32
A,2018-01-04,2017-12-08,,67.11064,67.71234,68.43811,68.177,68.8
A,2018-01-05,2017-12-08,,67.20858,67.676544,68.443695,68.258705,69.9
A,2018-01-08,2017-12-08,,67.375244,67.76013,68.451164,68.329575,70.05
A,2018-01-09,2017-12-08,,67.321686,67.64185,68.488365,68.59434,71.77
A,2018-01-10,2018-01-09,,72.29938,71.789375,71.747925,71.32815,70.79
A,2018-01-11,2018-01-09,,70.39933,71.77159,71.79937,71.581375,70.8
A,2018-01-12,2018-01-09,,70.69682,71.78524,71.64449,71.6411,71.73
A,2018-01-16,2018-01-09,,70.93209,71.81622,71.69159,71.67962,71.23
A,2018-01-17,2018-01-09,,70.99861,71.80504,72.071434,71.70235,72.06
A,2018-01-18,2018-01-09,,71.22319,71.856926,71.93312,71.73718,72.19
A,2018-01-19,2018-01-09,,71.51682,71.80604,71.83827,71.791046,73.07
A,2018-01-22,2018-01-09,,71.6342,71.87311,72.12837,71.84942,73.48
A,2018-01-23,2018-01-09,,71.458405,71.83078,71.7494,71.894844,73.44
A,2018-01-24,2018-01-09,,71.4735,71.91592,72.0236,71.926445,73.58
A,2018-01-25,2018-01-09,,71.36677,71.89044,71.97916,71.962326,73.86
A,2018-01-26,2018-01-09,,71.36342,71.87714,72.006134,72.01198,74.82
A,2018-01-29,2018-01-09,,71.12768,71.81718,71.986786,72.059586,74.53
A,2018-01-30,2018-01-09,,71.05321,71.91461,72.20846,72.08677,72.99
A,2018-01-31,2018-01-09,,70.80935,71.962685,72.18066,72.09352,73.43
A,2018-02-01,2018-01-09,,70.67995,71.860176,72.036415,72.09741,72.83
A,2018-02-02,2018-01-09,,70.53359,71.93898,72.1991,72.12223,71.25
