ds,cutoff,y,AutoARIMA,AutoETS,SeasonalNaive
2017-06-29,2017-06-28,6.5117455,6.9592137,6.796487,6.814543
2017-06-30,2017-06-28,7.17549,6.9695687,6.776883,6.8926415
2017-07-01,2017-06-28,7.536897,7.064678,7.124911,7.222566
2017-07-02,2017-06-28,7.268223,7.031479,7.1196704,7.198931
2017-07-03,2017-06-28,7.234177,6.9498343,7.027096,6.637258
2017-07-04,2017-06-28,6.9744787,6.981699,6.9685454,6.80017
2017-07-05,2017-06-28,7.070724,6.9357724,6.862217,6.947937
2017-07-06,2017-06-28,6.8638034,6.955706,6.796345,6.814543
2017-07-07,2017-06-28,6.946014,6.9717684,6.7767696,6.8926415
2017-07-08,2017-06-28,7.4960976,7.0459504,7.12482,7.222566
2017-07-09,2017-06-28,7.226209,7.037386,7.1195974,7.198931
2017-07-10,2017-06-28,7.243513,6.9209847,7.027037,6.637258
2017-07-11,2017-06-28,7.074963,6.9557548,6.9684987,6.80017
2017-07-12,2017-06-28,7.18007,6.978074,6.8621798,6.947937
2017-07-13,2017-06-28,7.111512,6.982665,6.796315,6.814543
2017-07-14,2017-06-28,7.0130157,6.986604,6.776746,6.8926415
2017-07-15,2017-07-14,7.31055,7.2284055,7.3460126,7.4960976
2017-07-16,2017-07-14,7.4301143,7.147509,7.303097,7.226209
2017-07-17,2017-07-14,7.1808314,7.1456213,7.2142744,7.243513
2017-07-18,2017-07-14,7.1024995,7.0759716,7.1392865,7.074963
2017-07-19,2017-07-14,6.8648477,7.10732,7.0567923,7.18007
2017-07-20,2017-07-14,7.195937,7.059712,6.9667106,7.111512
2017-07-21,2017-07-14,7.0148144,7.0630317,6.9851475,7.0130157
2017-07-22,2017-07-14,7.145196,7.1937666,7.346151,7.4960976
2017-07-23,2017-07-14,7.145196,7.132701,7.303208,7.226209
2017-07-24,2017-07-14,7.160069,7.1357384,7.214364,7.243513
2017-07-25,2017-07-14,7.1716566,7.095227,7.139358,7.074963
2017-07-26,2017-07-14,6.6871085,7.1189895,7.05685,7.18007
2017-07-27,2017-07-14,6.8669333,7.100118,6.966757,7.111512
2017-07-28,2017-07-14,7.38709,7.081909,6.9851847,7.0130157
2017-07-29,2017-07-14,7.4436636,7.138859,7.3461804,7.4960976
2017-07-30,2017-07-14,7.3569183,7.1159844,7.3032317,7.226209
2017-07-31,2017-07-30,7.166266,7.170875,7.2196527,7.160069
2017-08-01,2017-07-30,7.5196924,7.138064,7.147801,7.1716566
2017-08-02,2017-07-30,7.1316986,7.0271025,7.0336313,6.6871085
2017-08-03,2017-07-30,7.358831,7.110886,6.9850354,6.8669333
2017-08-04,2017-07-30,7.4139705,7.1409984,7.0186768,7.38709
2017-08-05,2017-07-30,7.506592,7.1726213,7.3398566,7.4436636
2017-08-06,2017-07-30,7.421776,7.161826,7.30939,7.3569183
2017-08-07,2017-07-30,7.2399325,7.141514,7.219741,7.160069
2017-08-08,2017-07-30,7.3727465,7.1396265,7.1478715,7.1716566
2017-08-09,2017-07-30,7.080868,7.0342107,7.0336876,6.6871085
2017-08-10,2017-07-30,7.424762,7.078627,6.9850807,6.8669333
2017-08-11,2017-07-30,7.286192,7.180728,7.018713,7.38709
2017-08-12,2017-07-30,7.195187,7.195356,7.339885,7.4436636
2017-08-13,2017-07-30,7.3310604,7.1776114,7.309413,7.3569183
2017-08-14,2017-07-30,7.029973,7.139907,7.219759,7.160069
2017-08-15,2017-07-30,7.383368,7.133468,7.1478863,7.1716566
2017-06-29,2017-06-28,7.5694118,7.660073,7.7181864,7.738488
2017-06-30,2017-06-28,7.8135915,7.658667,7.711001,7.6162834
2017-07-01,2017-06-28,8.282483,7.711863,7.9939227,7.977625
2017-07-02,2017-06-28,8.238537,7.681974,7.9469514,7.9665866
2017-07-03,2017-06-28,8.188689,7.670098,7.9553795,7.6539693
2017-07-04,2017-06-28,7.9526153,7.6786313,7.8773794,7.645876
2017-07-05,2017-06-28,7.8066964,7.6555734,7.801335,7.549609
2017-07-06,2017-06-28,7.8434563,7.671847,7.7176833,7.738488
2017-07-07,2017-06-28,7.7030077,7.6627226,7.710598,7.6162834
2017-07-08,2017-06-28,7.9929447,7.6909094,7.993601,7.977625
2017-07-09,2017-06-28,7.893199,7.6927347,7.9466934,7.9665866
2017-07-10,2017-06-28,7.759187,7.663569,7.9551735,7.6539693
2017-07-11,2017-06-28,7.8351836,7.6622233,7.8772144,7.645876
2017-07-12,2017-06-28,7.667158,7.6559033,7.801203,7.549609
2017-07-13,2017-06-28,7.6211953,7.665357,7.7175775,7.738488
2017-07-14,2017-06-28,7.256297,7.666505,7.7105136,7.6162834
2017-07-15,2017-07-14,7.8296304,7.602303,8.030253,7.9929447
2017-07-16,2017-07-14,7.9820747,7.6250205,7.9636755,7.893199
2017-07-17,2017-07-14,7.8018003,7.630033,7.9457054,7.759187
2017-07-18,2017-07-14,7.695758,7.6136866,7.873214,7.8351836
2017-07-19,2017-07-14,7.640604,7.591539,7.7867913,7.667158
2017-07-20,2017-07-14,7.635787,7.5906553,7.705183,7.6211953
2017-07-21,2017-07-14,7.555905,7.5504446,7.684566,7.256297
2017-07-22,2017-07-14,7.846981,7.5924344,8.02984,7.9929447
2017-07-23,2017-07-14,7.8520503,7.5851707,7.963345,7.893199
2017-07-24,2017-07-14,7.750184,7.5766845,7.9454403,7.759187
2017-07-25,2017-07-14,7.737616,7.585518,7.873001,7.8351836
2017-07-26,2017-07-14,7.32449,7.5711746,7.786621,7.667158
2017-07-27,2017-07-14,7.541683,7.566608,7.7050467,7.6211953
2017-07-28,2017-07-14,7.7030077,7.531146,7.6844563,7.256297
2017-07-29,2017-07-14,8.135347,7.558343,8.029753,7.9929447
2017-07-30,2017-07-14,7.904704,7.5612483,7.9632745,7.893199
2017-07-31,2017-07-30,8.082711,7.8345017,7.933122,7.750184
2017-08-01,2017-07-30,8.046869,7.8081975,7.8569565,7.737616
2017-08-02,2017-07-30,8.038835,7.7764,7.7572193,7.32449
2017-08-03,2017-07-30,8.092239,7.791553,7.6936502,7.541683
2017-08-04,2017-07-30,7.984122,7.801803,7.679571,7.7030077
2017-08-05,2017-07-30,8.140024,7.8493953,7.991186,8.135347
2017-08-06,2017-07-30,8.167919,7.8325095,7.945521,7.904704
2017-08-07,2017-07-30,7.999007,7.821549,7.9328623,7.750184
2017-08-08,2017-07-30,8.020927,7.818946,7.8567476,7.737616
2017-08-09,2017-07-30,7.8156104,7.7815995,7.7570515,7.32449
2017-08-10,2017-07-30,7.74457,7.8024797,7.6935153,7.541683
2017-08-11,2017-07-30,7.762171,7.8212576,7.679463,7.7030077
