Model,MALE,RMSLE,Iteration
Autoformer,0.4063846462354908,0.8121561136309592,1
PatchTST,0.272908544473856,0.6173973049434607,1
iTransformer,0.3290420112057577,0.7073586384186432,1
Informer,0.3279615703605032,0.704185671060586,1
VanillaTransformer,0.3043025555930508,0.6588858338575464,1
Autoformer,0.39762428206295614,0.8000280694306762,2
PatchTST,0.27148004129363373,0.6179478020564148,2
iTransformer,0.3442364377337856,0.7257243731322053,2
Informer,0.3183937101106395,0.6796488416438511,2
VanillaTransformer,0.3024944701851587,0.6577180339590554,2
Autoformer,0.39644228942177123,0.800140393599192,3
PatchTST,0.27102703647699744,0.6168064235328259,3
iTransformer,0.34114624309097186,0.72196926376477,3
Informer,0.31661107197180255,0.6728188101430838,3
VanillaTransformer,0.29367456521181173,0.650171334491206,3
Autoformer,0.3908632636476497,0.7850136519195847,4
PatchTST,0.2704526315938381,0.6154740580445069,4
iTransformer,0.3483109872677221,0.7250752884935233,4
Informer,0.31623436369852465,0.6705656272637303,4
VanillaTransformer,0.2963720795532538,0.6588762144692177,4
Autoformer,0.3866227538498281,0.7818881016513699,5
PatchTST,0.2692214175032645,0.613118579506575,5
iTransformer,0.33441072337455546,0.707792402898014,5
Informer,0.31496079931183485,0.6642181196998699,5
VanillaTransformer,0.2967334035303401,0.6588334442511028,5
