Model,MALE,RMSLE,Iteration
FEDformer,,,1
Autoformer,0.3007807953543058,0.7132916239657774,1
PatchTST,0.2696578226382808,0.628433389235787,1
iTransformer,0.2967974812655522,0.6632489548786678,1
Informer,0.29827313769260844,0.6784996377779275,1
VanillaTransformer,0.29036721247790753,0.6771741570016315,1
FEDformer,,,2
Autoformer,0.2989363524843069,0.7116357152098537,2
PatchTST,0.2702581179768812,0.6377652435968769,2
iTransformer,0.2966192261784209,0.6706088643033441,2
Informer,0.30466600322811893,0.6778551556782976,2
VanillaTransformer,0.2860574057614375,0.6599123642569117,2
FEDformer,,,3
Autoformer,0.30059072778092416,0.7091054924384559,3
PatchTST,0.2688631158428937,0.6364863193218165,3
iTransformer,0.2898142917229088,0.6474513866837925,3
Informer,0.30233871434716947,0.6778785721140649,3
VanillaTransformer,0.28507478073781306,0.6638150808402563,3
FEDformer,,,4
Autoformer,0.29833097942588543,0.7055537624423257,4
PatchTST,0.26795248145316236,0.6352518165615479,4
iTransformer,0.2938776295065995,0.6577391799877295,4
Informer,0.29929660607298225,0.6745512182947336,4
VanillaTransformer,0.2845406356376651,0.6616587869365288,4
FEDformer,,,5
Autoformer,0.30094485908434876,0.707081979665084,5
PatchTST,0.26771198414220293,0.6356716122490539,5
iTransformer,0.2864207607760389,0.6469599541571316,5
Informer,0.298866207804775,0.6734203830109361,5
VanillaTransformer,0.28331045675785965,0.6585815391853481,5
FEDformer,,,6
Autoformer,0.3002534322898185,0.7034797631502571,6
PatchTST,0.2671869768135984,0.634592259167764,6
iTransformer,0.28930735980403943,0.6578216204357371,6
Informer,0.2982887832873711,0.6762409578358051,6
VanillaTransformer,0.2819442980274784,0.6533842058977084,6
FEDformer,,,7
Autoformer,0.2976039127013255,0.6960858427263589,7
PatchTST,0.2670970710185454,0.6339553315598356,7
iTransformer,0.2873491440388106,0.6436953108859446,7
Informer,0.2977396454718314,0.6753211003580162,7
VanillaTransformer,0.2816543863375035,0.6562410619507529,7
FEDformer,,,8
Autoformer,0.29781904774578133,0.7020553343851211,8
PatchTST,0.26713436252023465,0.6357578836545313,8
iTransformer,0.2869939780144698,0.6499571535057427,8
Informer,0.29689585848405886,0.6725252008146452,8
VanillaTransformer,0.282297370771654,0.6570144688316862,8
FEDformer,,,9
Autoformer,0.2976997133904825,0.7037738861100157,9
PatchTST,0.27013124663611093,0.6454662782653762,9
iTransformer,0.284685808366726,0.6399203392437274,9
Informer,0.2960475746273637,0.6734471826440048,9
VanillaTransformer,0.28191762837341394,0.657482485851536,9
FEDformer,,,10
Autoformer,0.297563487503139,0.6989471475741094,10
PatchTST,0.26952044787682994,0.6428814857196277,10
iTransformer,0.2930458493725407,0.662550183252296,10
Informer,0.29719395273481175,0.67555998565043,10
VanillaTransformer,0.2819140796722806,0.6576409451517139,10
