unique_id,ds,cutoff,FEDformer,Autoformer,PatchTST,iTransformer,Informer,VanillaTransformer,y
10_BEVERAGES,2017-06-29,2017-06-28,,6.901404,6.8594394,6.7816253,6.888751,6.8389964,6.511745329644728
10_BEVERAGES,2017-06-30,2017-06-28,,6.920304,6.9549737,6.763612,6.886173,6.982002,7.175489713624222
10_BEVERAGES,2017-07-01,2017-06-28,,7.233881,7.281467,7.2146525,7.1909375,7.272457,7.53689712956617
10_BEVERAGES,2017-07-02,2017-06-28,,7.3759036,7.258962,7.1440454,7.1387134,7.2696943,7.2682230211595655
10_BEVERAGES,2017-07-03,2017-06-28,,7.121005,7.0197186,6.879601,6.9954777,7.050888,7.234177179749849
10_BEVERAGES,2017-07-04,2017-06-28,,7.0202813,7.0271916,6.916826,6.985519,6.9544625,6.974478911025045
10_BEVERAGES,2017-07-05,2017-06-28,,6.9261303,7.0109453,6.8704205,6.9878745,6.9146013,7.0707241072602764
10_BEVERAGES,2017-07-06,2017-06-28,,6.8769045,6.9392138,6.7321377,6.9774957,6.8847375,6.863803391452954
10_BEVERAGES,2017-07-07,2017-06-28,,6.952952,6.98725,6.8633494,7.0034223,7.0036373,6.946013991099227
10_BEVERAGES,2017-07-08,2017-06-28,,7.360134,7.294118,7.1783586,7.199479,7.3055954,7.496097345175956
10_BEVERAGES,2017-07-09,2017-06-28,,7.3612266,7.247595,7.0739226,7.231695,7.3013234,7.226209010100671
10_BEVERAGES,2017-07-10,2017-06-28,,7.0096745,6.988244,6.7821817,7.080375,7.039897,7.243512974665481
10_BEVERAGES,2017-07-11,2017-06-28,,6.966052,6.9775286,6.788599,7.035116,6.956088,7.074963197966043
10_BEVERAGES,2017-07-12,2017-06-28,,6.9640627,6.916878,6.7944975,7.040115,6.9188323,7.180069874302796
10_BEVERAGES,2017-07-13,2017-06-28,,6.926785,6.879217,6.6730447,6.9774876,6.885894,7.111512116496156
10_BEVERAGES,2017-07-14,2017-06-28,,7.0594335,6.9472218,6.7987804,6.9681497,7.006077,7.0130157896396295
10_BEVERAGES,2017-07-15,2017-07-14,,7.261122,7.400137,7.370576,7.296634,7.3578696,7.310550158534422
10_BEVERAGES,2017-07-16,2017-07-14,,7.1064568,7.2902613,7.235414,7.3266644,7.238545,7.430114138561801
10_BEVERAGES,2017-07-17,2017-07-14,,6.9976506,7.099724,7.068294,7.0601997,7.09249,7.1808311990445555
10_BEVERAGES,2017-07-18,2017-07-14,,6.9987044,7.0171695,6.9671807,7.0002065,7.0275807,7.102499355774649
10_BEVERAGES,2017-07-19,2017-07-14,,6.945216,6.97993,6.9321566,7.0986414,6.975311,6.86484777797086
10_BEVERAGES,2017-07-20,2017-07-14,,6.909182,6.908988,6.799006,6.985836,6.9383802,7.195937226475569
10_BEVERAGES,2017-07-21,2017-07-14,,7.0777693,7.0040946,6.987204,7.1818523,7.15598,7.014814351275545
10_BEVERAGES,2017-07-22,2017-07-14,,7.333598,7.345238,7.3710814,7.305044,7.3841543,7.145196134997171
10_BEVERAGES,2017-07-23,2017-07-14,,7.174235,7.208054,7.1433864,7.410817,7.217997,7.145196134997171
10_BEVERAGES,2017-07-24,2017-07-14,,7.0169163,7.0349965,6.9824843,7.1475263,7.0756907,7.160069207596126
